"BCPD","Lifestage","Sex","Morph_original","e_max","Filter_max","e_prop","R_c","G_c","B_c"
"0099","A","F","red_beige",0.494162958,90.50966632,0.103199592,8.766121037,4.383663819,3.213383824
"0381","A","F","red_speckle",0.213418746,22.62741673,0.084471538,7.377767971,3.470862641,2.690147292
"0571","A","M","red",0.129864531,127.9999974,0.086141738,6.528009259,2.790679781,2.308189183
"0572","A","M","gold_red",0.294951797,45.25483331,0.0911564,8.193204468,5.37625008,3.914492626
"0573","A","M","red",0.153189247,127.9999974,0.103030171,7.239629762,2.330246172,1.873832657
"0575","A","F","red_speckle",0.321461724,90.50966632,0.103835646,9.629737053,4.109363749,2.87609466
"0579","A","M","red_speckle",0.281231835,90.50966632,0.089897222,9.297376473,4.503480848,3.762626234
"0113","A","F","red_beige",0.422227244,63.99999893,0.091302594,11.110903968,4.507732036,2.9659371
"0344","A","F","red_beige",0.301238068,127.9999974,0.098977849,8.048988932,3.953324385,2.880491938
"0196","A","F","red_beige",0.204990982,22.62741673,0.087923662,6.999946172,2.038579537,1.377745816
"0596","A","M","gold_red",0.256278001,15.99999984,0.088970006,7.514081369,5.0769764,3.675421451
"0224","A","F","gold",0.47872254,90.50966632,0.113900674,10.19700391,6.960954055,4.408729978
"0558","A","F","red_beige",0.244539196,127.9999974,0.087917314,8.112957994,3.033401723,2.08674183
"0384","A","F","red_beige",0.418444208,22.62741673,0.096116598,8.862539331,3.834722847,2.860529431
"0577","A","F","red_gold",0.385703998,90.50966632,0.120442105,8.665619963,5.051833448,3.312275482
"0583","A","F","red_gold",0.288416959,181.019332,0.089056598,8.514523236,4.18253029,2.921873321
"0631","A","M","gold_red",0.300738865,11.3137084,0.096134911,8.480121364,5.472131585,3.647060684
"0635","A","M","beige_pink",0.966712014,63.99999893,0.123641003,16.21391879,11.151536272,7.347618402
"0619","A","F","white_hourglass",1.515835201,63.99999893,0.133324856,19.50498483,16.08999079,12.329848167
"0115","A","M","white_back_beige",2.197608047,63.99999893,0.149634264,20.9905623,18.92344169,15.46852439
"0117","A","M","white_back_beige_red_stripes",1.46635886,90.50966632,0.135337933,17.40728176,12.799096298,9.373789004
"0511","A","F","white",1.806216774,45.25483331,0.133611277,24.10583648,23.08142823,20.1736166
"0198","A","M","white_back_pink",1.694811173,31.99999957,0.143254205,20.79388027,16.1259135,11.992684627
"0218","A","M","white_hourglass",1.172996492,45.25483331,0.136785373,14.89952232,10.299637837,8.147994116
"0225","A","M","white_back_red",0.715132094,127.9999974,0.123980399,10.237569965,5.525544159,3.47375984
"0534","A","F","white_hourglass",1.67350664,63.99999893,0.139660176,20.99527285,16.27389129,11.120530712
"0236","A","M","white_back_gold_red",1.427288952,45.25483331,0.129736496,16.06160087,13.05385381,10.706153184
"0503","A","F","beige_middle",1.082379645,90.50966632,0.126211818,16.99140958,12.616138185,8.651025558
"0330","A","M","white_back_white_beige",1.582246443,31.99999957,0.142570847,17.78367925,16.5051999,12.583773322
"0331","A","M","white_back_beige_white_red",1.454897064,45.25483331,0.130521554,15.923781,12.498937477,10.663548386
"0499","A","F","white",2.465154767,90.50966632,0.137367609,31.1320556,27.92180885,23.67886084
"0338","A","M","white_hourglass",1.299693466,63.99999893,0.108750155,20.32675766,16.96806518,14.00335359
"0352","A","M","white_back_red_beige",1.848229958,45.25483331,0.148820298,18.25899522,13.97345269,11.582322648
"0406","A","F","white_back_beige",1.847415212,63.99999893,0.130831074,20.77385122,16.54428399,12.39105642
"0394","A","M","white_back_gold_red",1.610352157,90.50966632,0.121133498,18.93362458,14.80176442,11.62971531
"0416","A","M","white_back_beige_red_stripes",1.580617978,45.25483331,0.129951746,16.46238573,14.21654708,10.510509884
"0212","A","F","white_back_sunset",1.312535976,90.50966632,0.131580455,16.99727906,11.687906791,7.932750907
"0445","A","M","white_hourglass",1.91894015,31.99999957,0.1259758,25.499488,23.47368678,18.60353553
"0393","A","F","white_hourglass",1.737283637,63.99999893,0.132854136,23.00678584,18.84105085,14.50870592
"0096","A","F","white_back_sunset",2.967294857,90.50966632,0.163258837,22.07949621,18.45436164,15.79486166
"0396","A","F","beige_middle",1.299809425,90.50966632,0.141728919,20.30967056,11.562225714,6.308483954
"0513","A","M","white_back_gold_red",1.310430319,63.99999893,0.118104899,15.75493597,11.69359736,8.695411878
"0591","A","F","white_back_red",1.47294292,63.99999893,0.129573311,16.848659,12.54601607,9.311135438
"0535","A","M","white_back_beige_red_stripes",1.20073348,90.50966632,0.11437826,17.34951948,11.2415011,7.394479206
"0103","A","F","white",1.928449152,90.50966632,0.134817576,25.99843186,21.68158651,15.74709755
"0505","A","F","white_hourglass",1.20150199,90.50966632,0.105453488,19.86907053,15.11218994,11.522259131
"0376","A","F","white",2.568685567,90.50966632,0.12184642,39.12972215,32.67753175,25.57225071
"0382","A","F","white_back_red",2.145488721,127.9999974,0.145676673,18.43468305,14.25609693,11.38914669
"0223","A","F","white",1.598502433,90.50966632,0.114346688,25.66419829,20.07174464,14.81484698
"0599","A","M","white_hourglass",1.394351108,31.99999957,0.159096204,15.85854498,13.43643254,10.999714928
"0616","A","M","white_back_beige",1.907216362,31.99999957,0.118931011,24.63808706,21.94214737,17.92365191
"0337","A","F","white_back_red",1.694057539,127.9999974,0.137721163,17.71140649,9.825247827,7.810057717
"0620","A","M","white_back_beige",1.27789665,31.99999957,0.11430951,19.29405245,16.47486407,12.51960494
"0622","A","M","white_hourglass",1.773556372,31.99999957,0.158688529,18.26722786,15.41973439,13.59684046
"0634","A","M","white_back_beige",2.239784693,45.25483331,0.136276665,24.26318203,21.07654476,16.32004442
