"BCPD","Image","Morph","Sex","Microhabitat_Association","Viewpoint","Microhabitat","Background","GabRat"
"0504","0504_1","RB","M","Present","0","Hydroid","Hydroid_Bryozoa",0.1583982512
"0504","0504_2","RB","M","Present","0","Hydroid","Hydroid",0.2560769368
"0504","0504_3","RB","M","Absent","0","Hydroid","Red_Algae",0.1108714261
"0504","0504_4","RB","M","Present","0","Hydroid","Hydroid",0.3283215871
"0505","0505_1","W","F","Absent","0","Red_Algae","Hydroid_Bryozoa",0.3003331327
"0505","0505_2","W","F","Absent","0","Red_Algae","Hydroid",0.2047813113
"0505","0505_3","W","F","Present","0","Red_Algae","Red_Algae",0.118361003
"0505","0505_4","W","F","Absent","0","Red_Algae","Hydroid",0.2318095149
"0507","0507_1","RB","M","Present","0","Hydroid_Bryozoa","Hydroid_Bryozoa",0.1593576703
"0507","0507_2","RB","M","Present","0","Hydroid_Bryozoa","Hydroid",0.2382560388
"0507","0507_3","RB","M","Absent","0","Hydroid_Bryozoa","Red_Algae",0.1085260925
"0507","0507_4","RB","M","Present","0","Hydroid_Bryozoa","Hydroid",0.2746558518
"0507","0507_1","RB","M","Present","0","Hydroid","Hydroid_Bryozoa",0.1593576703
"0507","0507_2","RB","M","Present","0","Hydroid","Hydroid",0.2382560388
"0507","0507_3","RB","M","Absent","0","Hydroid","Red_Algae",0.1085260925
"0507","0507_4","RB","M","Present","0","Hydroid","Hydroid",0.2746558518
"0509","0509_1","Other","M","Present","0","Hydroid_Bryozoa","Hydroid_Bryozoa",0.1090501527
"0509","0509_2","Other","M","Present","0","Hydroid_Bryozoa","Hydroid",0.326300823
"0509","0509_3","Other","M","Absent","0","Hydroid_Bryozoa","Red_Algae",0.1435327199
"0509","0509_4","Other","M","Present","0","Hydroid_Bryozoa","Hydroid",0.3289069118
"0509","0509_1","Other","M","Present","0","Hydroid","Hydroid_Bryozoa",0.1090501527
"0509","0509_2","Other","M","Present","0","Hydroid","Hydroid",0.326300823
"0509","0509_3","Other","M","Absent","0","Hydroid","Red_Algae",0.1435327199
"0509","0509_4","Other","M","Present","0","Hydroid","Hydroid",0.3289069118
"0510","0510_1","RB","M","Present","0","Hydroid_Bryozoa","Hydroid_Bryozoa",0.1457846804
"0510","0510_2","RB","M","Present","0","Hydroid_Bryozoa","Hydroid",0.1897101726
"0510","0510_3","RB","M","Absent","0","Hydroid_Bryozoa","Red_Algae",0.1120387766
"0510","0510_4","RB","M","Present","0","Hydroid_Bryozoa","Hydroid",0.2076851586
"0510","0510_1","RB","M","Present","0","Hydroid","Hydroid_Bryozoa",0.1457846804
"0510","0510_2","RB","M","Present","0","Hydroid","Hydroid",0.1897101726
